City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sabang,5.8933,95.3214,84.56,77,87,10.02,ID,1682951536
1,port keats,-14.25,129.55,75.74,55,67,7.49,AU,1682951537
2,kavieng,-2.5744,150.7967,82.02,80,100,10.63,PG,1682951538
3,preobrazheniye,42.9019,133.9064,41.4,78,7,4.61,RU,1682951274
4,vao,-22.6667,167.4833,75.96,75,100,14.67,NC,1682951539
5,ivanovka,42.8878,75.085,56.82,57,35,2.89,KG,1682951540
6,dikson,73.5069,80.5464,26.28,88,100,16.11,RU,1682951541
7,danilov,58.1908,40.1717,41.94,92,100,9.15,RU,1682951543
8,castro,-24.7911,-50.0119,70.93,56,0,2.93,BR,1682951543
9,arman,59.7,150.1667,30.02,88,100,1.81,RU,1682951531
10,maridi,4.9158,29.4742,81.79,54,79,5.26,SS,1682951545
11,beringovskiy,63.05,179.3167,2.52,94,17,8.72,RU,1682951547
12,rikitea,-23.1203,-134.9692,78.84,77,23,5.28,PF,1682951548
13,busselton,-33.65,115.3333,53.87,81,0,10.94,AU,1682951548
14,pengcheng,36.4311,114.17,66.74,37,91,8.77,CN,1682951549
15,verkhnevilyuysk,63.4453,120.3167,32.13,100,100,1.74,RU,1682951549
16,vila velha,-20.3297,-40.2925,78.75,84,20,10.36,BR,1682951552
17,saint-paul,-21.0096,55.2707,80.69,95,7,3.24,RE,1682951552
18,aswan,24.0934,32.907,89.1,8,0,10.58,EG,1682951553
19,kyren,51.6828,102.1408,32.54,96,100,2.01,RU,1682951554
20,saurimo,-9.6608,20.3916,78.82,51,76,2.8,AO,1682951555
21,severnyy,50.677,36.5532,50.04,76,0,4.47,RU,1682951558
22,vardo,70.3705,31.1107,37.53,77,71,6.78,NO,1682951560
23,ushuaia,-54.8,-68.3,35.26,80,75,9.22,AR,1682951491
24,makat,47.6469,53.3463,83.5,14,100,15.35,KZ,1682951561
25,atuona,-9.8,-139.0333,81.25,77,9,22.64,PF,1682951563
26,morros,-9.4467,-46.3003,84.52,56,100,8.1,BR,1682951564
27,mayo,38.8876,-76.5119,59.34,51,0,14.97,US,1682951565
28,hilo,19.7297,-155.09,68.61,88,0,4.61,US,1682951314
29,bacabal,-4.2917,-44.7917,85.05,73,86,2.98,BR,1682951567
30,kapaa,22.0752,-159.319,72.1,88,5,1.01,US,1682951568
31,avarua,-21.2078,-159.775,75.25,73,40,8.05,CK,1682951313
32,williams lake,52.1415,-122.1445,49.05,93,100,2.3,CA,1682951568
33,thompson,55.7435,-97.8558,35.76,75,0,2.3,CA,1682951452
34,jamestown,42.097,-79.2353,45.99,88,100,16.11,US,1682951394
35,port elizabeth,-33.918,25.5701,74.1,79,0,16.11,ZA,1682951570
36,coihaique,-45.5752,-72.0662,48.81,76,100,10.36,CL,1682951308
37,butaritari,3.0707,172.7902,83.21,77,22,15.86,KI,1682951571
38,esperance,-33.8667,121.9,59.76,63,80,6.51,AU,1682951572
39,evensk,61.95,159.2333,18.52,82,62,14.85,RU,1682951538
40,punta arenas,-53.15,-70.9167,37.51,81,75,19.57,CL,1682951538
41,charters towers,-20.1,146.2667,68.25,90,6,7.14,AU,1682951359
42,mataura,-46.1927,168.8643,46.47,97,93,2.86,NZ,1682951575
43,severo-kurilsk,50.6789,156.125,33.44,93,100,16.42,RU,1682951576
44,carnarvon,-24.8667,113.6333,72.23,66,9,10.94,AU,1682951511
45,harwich,51.9419,1.2844,61.5,70,93,3.0,GB,1682951416
46,sterling,39.0062,-77.4286,58.12,54,75,10.36,US,1682951581
47,portland,45.5234,-122.6762,51.82,83,79,5.01,US,1682951453
48,mahebourg,-20.4081,57.7,79.09,89,75,0.0,MU,1682951330
49,grindavik,63.8424,-22.4338,46.35,60,40,10.36,IS,1682951583
50,catamarca,-28.4696,-65.7852,61.59,76,100,7.58,AR,1682951381
51,nikolskoye,59.7035,30.7861,51.69,38,8,9.01,RU,1682951492
